ModelID,ATP6V1B2,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,DependencyGroup
ACH-000015,-2.364824265714954,NCI-H1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000045,-2.2875008429036057,MV4-11,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000094,-1.868609414844328,HPAF-II,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000096,-1.4326297162200634,G-401,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,Non-immune
ACH-000099,-1.01831550298711,SIMA,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000167,-2.215360078965265,KE-97,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000178,-2.6435938110512267,Hs 766T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000213,-1.8705958687949131,HUP-T4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000216,-2.833575767263301,JH-EsoAd1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,Non-immune
ACH-000223,-1.498379057988107,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000247,-0.9249115838688112,OCUM-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,Non-immune
ACH-000261,-2.3062023066731685,RERF-LC-AI,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000262,-2.86473179583079,UOK101,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000286,-2.8491185452506147,SNU-1033,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-000312,-2.338995293124808,SK-N-BE(2),Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000320,-2.445248706123237,PSN1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000341,-1.95091392209502,SK-N-FI,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000354,-2.817190544650311,Capan-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000373,-2.4062707002198933,SKM-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000402,-2.4385768762118727,BL-70,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,Lymphoid
ACH-000416,-2.3945197603014887,NCI-H838,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000435,-2.652433342865277,EFE-184,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000437,-2.156008747533676,SW 1088,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-000450,-2.5592019026153,MEL-HO,Skin,Melanoma,Melanoma,Non-immune
ACH-000478,-2.7664288438368416,SNU-387,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000483,-2.0563267565010444,SNU-182,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000493,-2.0564420518362008,SNU-423,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000514,-1.8443655795245408,NCI-H1092,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000516,-2.394395622958882,CAL-78,Bone,Chondrosarcoma,Dedifferentiated Chondrosarcoma,Non-immune
ACH-000535,-1.935775936777909,BxPC-3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000544,-3.577710754588452,OE21,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000563,-1.990140349603344,EBC-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000592,-3.1021437358107056,TM-31,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-000599,-1.7978019632330966,PA-TU-8902,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000614,-3.1694064895424066,RVH-421,Skin,Melanoma,Melanoma,Non-immune
ACH-000618,-2.716877333419923,SNU-1041,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,Non-immune
ACH-000652,-2.782996572754218,SUIT-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000656,-3.212036668717637,SU-DHL-8,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-000695,-2.3568861884292915,COR-L47,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000717,-1.938348142809668,COLO-680N,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000719,-3.443626248108723,RMG-I,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,Non-immune
ACH-000748,-0.9271303620000996,SJSA-1,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-000777,-1.5805143756820743,KYSE-30,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000784,-2.459013158251836,KYSE-70,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000793,-3.741829921349865,KATO III,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,Non-immune
ACH-000798,-2.25946431078566,CL-40,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000820,-2.052870020244452,SW403,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000839,-1.7083625082420908,SCaBER,Bladder/Urinary Tract,Bladder Squamous Cell Carcinoma,Bladder Squamous Cell Carcinoma,Non-immune
ACH-000862,-1.3281542646893212,KMBC-2,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000872,-2.569592409261099,HCC515,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000876,0.3224507202218953,MDA-MB-415,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000888,-2.4494001690274163,NCI-H1793,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000906,-1.9206342902911024,ES-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,Non-immune
ACH-000912,-2.741589511512436,NCI-H2286,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000913,-2.521185303197248,ESS-1,Uterus,Uterine Sarcoma/Mesenchymal,Endometrial Stromal Sarcoma,Non-immune
ACH-000922,-2.5626371489757345,RCH-ACV,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000928,-1.9083719062086333,JHUEM-1,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000934,-0.1040018647262872,MDA-MB-361,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000937,-2.465710776000573,PF-382,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000943,-3.4470991932812494,RKO,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000950,-2.3961264098312727,LoVo,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000953,-2.507728582763016,SUP-T1,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000957,-2.501822620187776,LS 180,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000960,-2.7708137363311494,Reh,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000969,-2.355259967036092,KM12,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000994,-2.8906663117739804,HEC-59,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-001228,-1.2247645085500052,UPCI-SCC-152,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001329,-1.2294156557652458,ANGM-CSS,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-001374,-2.311980425415097,PA-1 [PA1],Ovary/Fallopian Tube,Ovarian Germ Cell Tumor,Mixed Germ Cell Tumor,Non-immune
ACH-001393,-2.22358830045594,SUM-190PT,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-001418,-2.5120835855216184,UWB1.289,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-001419,-1.341534241632519,VP229,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-001497,-0.5653799044787602,ESO51,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,Non-immune
ACH-001513,-1.0355214534339607,HCA-1,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,Non-immune
ACH-001539,-2.6902711527801952,KML-1,Lymphoid,Mature B-Cell Neoplasms,Germinal Center B-Cell Type,Lymphoid
ACH-001544,-2.514453813840446,KYAE-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,Non-immune
ACH-001570,-2.746854392608647,MM426,Skin,Melanoma,Melanoma,Non-immune
ACH-001603,-1.670493431443019,NH-12,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001650,-2.681047787891832,SISO,Cervix,Cervical Adenocarcinoma,Cervical Adenocarcinoma,Non-immune
ACH-001675,-0.9564541323201814,TR146,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001794,-2.488726468428101,93T449,Soft Tissue,Liposarcoma,Well-Differentiated Liposarcoma,Non-immune
ACH-001802,-1.6134482559660892,LPS853,Soft Tissue,Liposarcoma,Dedifferentiated Liposarcoma,Non-immune
ACH-001972,-3.3535524729835395,MM473,Skin,Melanoma,Melanoma,Non-immune
ACH-001993,-2.19423848914379,NALM-16,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-002002,-3.0675444189373176,A375 SKIN CJ2,Skin,Melanoma,Melanoma,Non-immune
ACH-002052,-2.427672466273284,Lu-139,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-002055,-2.0860611783571272,TL-1,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,Lymphoid
ACH-002161,-0.1052292832035899,MKN28,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,Non-immune
ACH-002263,-2.0024271545501726,KYSE-220,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-002284,-1.8810842261911027,NB6,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-002463,-1.0772475546063465,RPE1-ss77,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",Non-immune
ACH-002471,-2.449817848833937,OS052,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-002511,-2.461894410405363,M104325,Skin,Melanoma,Melanoma,Non-immune
ACH-002512,-2.6924591170159733,MM160113,Skin,Melanoma,Acral Melanoma,Non-immune
ACH-002654,-2.147459923540496,JVE-015,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-002780,-2.6019866530650217,NCC-ES1-C1,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-002784,-1.4015290739931627,NCC-UPS2-C1,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Non-immune
ACH-002799,-3.00653706279735,NCC-MPNST1-C1,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,Non-immune
ACH-002806,-0.9385450580387124,TB096,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,Non-immune
ACH-000018,-2.5797941844364822,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000029,-1.6927674911942092,HCC-827-GR5,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000036,-2.417123284460488,U343,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000048,-1.950438048091089,TOV-112D,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,Non-immune
ACH-000053,-2.2285136587430614,KARPAS-299,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,Lymphoid
ACH-000087,-2.4422206227155367,SK-ES-1,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-000097,0.1254774080546186,ZR-75-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000108,-2.6119018521995883,KP-3,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,Non-immune
ACH-000120,-1.264842917593299,CHP-212,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000143,-2.276160572723591,HCC2429,Lung,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,Non-immune
ACH-000183,-2.182072231766078,L-363,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000190,-2.747559119451295,HD-MY-Z,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000195,-1.9569747984906225,Set-2,Myeloid,Acute Myeloid Leukemia,"AML, NOS",Myeloid
ACH-000198,-3.1531445824794577,EOL-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000235,-2.2246332750049107,Panc 04.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000255,-2.227646256227286,LMSU,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000258,-2.4502603980848803,Du4475,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000304,-2.987474313222396,WM-115,Skin,Melanoma,Melanoma,Non-immune
ACH-000311,-1.635305989404496,NCI-H2122,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000339,-2.2624790135077517,HCC-461,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000350,-1.1426244368693932,COLO-678,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000361,-2.745886709074854,SK-HEP-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000375,-2.6847543907130427,G-402,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,Non-immune
ACH-000389,-2.607214242181603,H4,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-000391,-1.6583743289305466,MHH-ES-1,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-000411,-2.4420639982983285,769-P,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000421,-2.3437989828507373,SW837,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-000427,-1.5976794683364892,NCI-N87,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,Non-immune
ACH-000434,-2.1270598472767843,NCI-H1915,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000441,-2.8838264897156303,SH-4,Skin,Melanoma,Melanoma,Non-immune
ACH-000444,-2.1897600614088395,LU99,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,Non-immune
ACH-000467,-2.5659347490298257,HCC-56,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000471,-2.4364726359009263,Li-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000486,-1.5636123317888786,KU-19-19,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000490,-1.041811132096,SF767,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-000496,-2.561208461685673,NCI-H1792,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000533,-2.4576291389722087,NCI-H2004 RT,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,Non-immune
ACH-000542,-1.6644089193928204,Hey-A8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000546,-2.15411002509031,HSC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000551,-2.536641946818019,K-562,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloid
ACH-000558,-1.534400176108785,A-172,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000576,-2.289965202785207,KMS-27,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000579,-1.770659832880347,UACC-257,Skin,Melanoma,Melanoma,Non-immune
ACH-000588,-2.7111651120882847,KMS-26,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000624,-1.9715952853366443,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,Non-immune
ACH-000638,-1.133014351618988,NCI-H441,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000646,-1.1279250731571369,OVMANA,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,Non-immune
ACH-000654,-2.3896679941554533,Raji,Lymphoid,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000738,-1.7865972963734595,GB-1,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000764,-2.345814162722048,SH-10-TC,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Mucinous Stomach Adenocarcinoma,Non-immune
ACH-000773,-2.774662036096851,Ki-JK,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,Lymphoid
ACH-000807,-2.438536019715829,SNU-738,CNS/Brain,Diffuse Glioma,Oligodendroglioma,Non-immune
ACH-000811,-1.0377627717028726,SK-OV-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-000843,-2.276179832615495,HARA,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000849,0.3990205592790707,MDA-MB-468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000865,-1.9534877192272724,KYSE-450,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000890,-2.543075564289762,SW 1271,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,Non-immune
ACH-000894,-1.088897179654119,NCI-H1869,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000907,-2.288504851022206,SNU-349,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000917,-2.7194072253835877,TE-4,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000932,-2.115337325041902,SNU-1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000966,-2.1905680161872945,IGROV1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,Non-immune
ACH-000974,-2.4610488684114658,SNG-M,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-001031,-2.468068584684312,CHLA-266,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,Non-immune
ACH-001338,-2.1400514933992976,CHP-134,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001407,-1.771694844316693,UM-UC-13,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-001409,-2.460842063466972,UM-UC-16,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-001454,-2.339644937791101,C10,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001511,0.1182656588174517,H413,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001518,-3.0305020807099825,HEC-116,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-001522,-2.8931209521875,HMY-1,Skin,Melanoma,Melanoma,Non-immune
ACH-001536,-2.881551146420416,KKU-100,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,Non-immune
ACH-001551,-1.7242876483540726,MCC14/2,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,Non-immune
ACH-001554,-2.93502730264084,mel-202,Eye,Ocular Melanoma,Uveal Melanoma,Non-immune
ACH-001555,-1.2484357652020008,Mero-14,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-001557,-1.886197997044768,Mero-41,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-001563,-2.6504432751732683,MM127,Skin,Melanoma,Melanoma,Non-immune
ACH-001574,-2.715251565982773,MOLM-14,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-001607,-2.527563643540772,NOZ,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",Non-immune
ACH-001655,-2.5055045405968297,SKN,Uterus,Uterine Sarcoma/Mesenchymal,Uterine Leiomyosarcoma,Non-immune
ACH-001674,-2.843066314086039,TGW,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001687,-2.38672353562933,UM-RC-3,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-001695,-1.925343965437197,UPCI-SCC-099,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001696,-2.7104211866927472,UPCI-SCC-111,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001699,-2.187382028092854,UPCI-SCC-131,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001737,-2.3910230528078813,CTV-1-DM,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-001819,0.0185253445935194,MFM-223,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-001843,-1.866311205034444,MGH-ECC4,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,Non-immune
ACH-002040,-2.640480017410884,HMV-II,Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,Non-immune
ACH-002043,-2.7888866011586817,Ca9-22,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-002051,-1.8317922551073609,Lu-134-A,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-002060,-2.1509784415178435,MY,Myeloid,Acute Leukemias of Ambiguous Lineage,Acute Leukemias of Ambiguous Lineage,Myeloid
ACH-002141,-2.175219083783586,HSC-39,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,Non-immune
ACH-002233,-1.3594733750382493,DIFI,Bowel,Colorectal Adenocarcinoma,Colorectal Adenocarcinoma,Non-immune
ACH-002247,-1.6768359345777262,IM-9,Myeloid,Non-Cancerous,Immortalized Blood,Myeloid
ACH-002257,-2.409752740718684,KINGS-1,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,Non-immune
ACH-002500,-1.967383358913524,Z-138,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,Lymphoid
ACH-002530,-2.10635434824354,SNU-977,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-003191,-2.275490051105918,NRH-GCT2,Bone,Giant Cell Tumor of Bone,Giant Cell Tumor of Bone,Non-immune
ACH-000005,-2.821905867551924,HEL 92.1.7,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000011,-2.294267528450798,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000067,-2.091620780658743,Hs 683,CNS/Brain,Diffuse Glioma,Oligodendroglioma,Non-immune
ACH-000076,-2.298197429436553,NCO2,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloid
ACH-000093,-1.868076710621514,Panc 05.04,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000095,-1.727787995403674,D341 Med,CNS/Brain,Embryonal Tumor,Medulloblastoma,Non-immune
ACH-000098,-2.446614864385192,GAMG,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000115,-1.5594591973378085,VCaP,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,Non-immune
ACH-000116,0.0094999716629589,OAW28,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000132,-2.863913887244209,JHOS-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000139,-2.8451737195618643,Panc 03.27,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000159,-1.9646880966489328,OS-RC-2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000172,-2.539984430152481,TM-87,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,Non-immune
ACH-000174,-1.9804581612584569,CAL-62,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,Non-immune
